kind,h,dime,box_A,seed,cp,energy_kcal
dual,0.8,25,19.2,12345,0.10,-18.943745590296366
dual,0.6,33,19.2,12345,0.10,46.56633516606118
dual,0.4,49,19.2,12345,0.10,212.79807028054492
dual,0.2,97,19.2,12345,0.10,1954.911182872371
dual,0.1,193,19.2,2026,0.10,5591.245672624283
dual,0.1,193,19.2,2026,0.20,5078.061241352772
dual,0.1,193,19.2,2026,0.30,5276.512720580784
dual,0.1,193,19.2,2026,0.40,4930.084806125717
dual,0.1,193,19.2,2026,0.50,3812.1070421653917
dual,0.1,193,19.2,12345,0.10,5701.876208740439
dual,0.1,193,19.2,12345,0.20,5604.511901278681
dual,0.1,193,19.2,12345,0.30,2987.5624067997132
dual,0.1,193,19.2,12345,0.40,5654.465000480402
dual,0.1,193,19.2,12345,0.50,5190.274719749044
dual,0.1,193,19.2,99999,0.10,3925.0766774235176
dual,0.1,193,19.2,99999,0.20,4061.975309565009
dual,0.1,193,19.2,99999,0.30,5212.9955416515295
dual,0.1,193,19.2,99999,0.40,5716.429256551147
dual,0.1,193,19.2,99999,0.50,5117.256757891969
dual,0.1,193,19.2,123456789,0.10,6251.895959787285
dual,0.1,193,19.2,123456789,0.20,5808.693144899617
dual,0.1,193,19.2,123456789,0.30,4301.182561068355
dual,0.1,193,19.2,123456789,0.40,5551.7358357098465
dual,0.1,193,19.2,123456789,0.50,5118.921781381453
dual,0.1,193,19.2,987654321,0.10,5387.4212030019125
dual,0.1,193,19.2,987654321,0.20,5131.728109732314
dual,0.1,193,19.2,987654321,0.30,4515.318825977533
dual,0.1,193,19.2,987654321,0.40,3922.6143231763863
dual,0.1,193,19.2,987654321,0.50,4915.421936768643
dual,0.1,225,22.4,12345,0.10,5701.846960427821
dual,0.1,257,25.6,12345,0.10,5701.834610915392
dual,0.1,289,28.8,12345,0.10,5701.828790059751
rigid,0.8,25,19.2,0,0.00,-100.60064108162047
rigid,0.6,33,19.2,0,0.00,-89.90518918264819
rigid,0.4,49,19.2,0,0.00,-88.67765069562618
rigid,0.2,97,19.2,0,0.00,-88.96346197198854
rigid,0.1,193,19.2,0,0.00,-88.1055020088432
rigid,0.1,225,22.4,0,0.00,-88.13417080786328
rigid,0.1,257,25.6,0,0.00,-88.14629693097514
rigid,0.1,289,28.8,0,0.00,-88.15201906594169
