config,h,edge,cp,seed,energy_kcal
DIPB_dual,0.8,8,0.10,12345,-60.73357715871091
DIPB_dual,0.6,8,0.10,12345,-79.85775317634267
DIPB_dual,0.4,8,0.10,12345,233.7000555341647
DIPB_dual,0.2,8,0.10,12345,1971.6601492609273
DIPB_dual,0.1,8,0.10,2026,5604.850247937746
DIPB_dual,0.1,8,0.20,2026,5091.672763640631
DIPB_dual,0.1,8,0.30,2026,5290.12239540481
DIPB_dual,0.1,8,0.40,2026,4943.699369383391
DIPB_dual,0.1,8,0.50,2026,3825.7361207500253
DIPB_dual,0.1,8,0.10,12345,5715.47774131782
DIPB_dual,0.1,8,0.20,12345,5618.113517036122
DIPB_dual,0.1,8,0.30,12345,3001.1954030543875
DIPB_dual,0.1,8,0.40,12345,5668.063789694749
DIPB_dual,0.1,8,0.50,12345,5203.8781319074005
DIPB_dual,0.1,8,0.10,99999,3938.7017631111967
DIPB_dual,0.1,8,0.20,99999,4075.5992487691237
DIPB_dual,0.1,8,0.30,99999,5226.605837162063
DIPB_dual,0.1,8,0.40,99999,5730.033970404434
DIPB_dual,0.1,8,0.50,99999,5130.869539723372
DIPB_dual,0.1,8,0.10,123456789,6265.490996667462
DIPB_dual,0.1,8,0.20,123456789,5822.293023384438
DIPB_dual,0.1,8,0.30,123456789,4314.800402724419
DIPB_dual,0.1,8,0.40,123456789,5565.337640285881
DIPB_dual,0.1,8,0.50,123456789,5132.528268772692
DIPB_dual,0.1,8,0.10,987654321,5401.029499125408
DIPB_dual,0.1,8,0.20,987654321,5145.341387212852
DIPB_dual,0.1,8,0.30,987654321,4528.94152334805
DIPB_dual,0.1,8,0.40,987654321,3936.2460059690047
DIPB_dual,0.1,8,0.50,987654321,4929.0429458624285
DIPB_rigid,0.8,8,0.10,12345,-51.08412226861301
DIPB_rigid,0.6,8,0.10,12345,-65.54796099247318
DIPB_rigid,0.4,8,0.10,12345,-67.77122338830392
DIPB_rigid,0.2,8,0.10,12345,-72.18813753863121
DIPB_rigid,0.1,6,0.10,12345,-74.43042920690957
DIPB_rigid,0.1,7,0.10,12345,-74.43212532978899
DIPB_rigid,0.1,8,0.10,12345,-74.43099793702547
DIPB_rigid,0.1,9,0.10,12345,-74.43206240445369
REG_rigid,0.8,8,0.10,12345,-52.32289533548087
REG_rigid,0.6,8,0.10,12345,-65.96710865329712
REG_rigid,0.4,8,0.10,12345,-68.30626967235642
REG_rigid,0.2,8,0.10,12345,-71.90886400705455
REG_rigid,0.1,6,0.10,12345,-73.9534283686141
REG_rigid,0.1,7,0.10,12345,-73.95419440789804
REG_rigid,0.1,8,0.10,12345,-73.9538231130291
REG_rigid,0.1,9,0.10,12345,-73.95505950790238
