pdb_id,dE12,DIPB,APBS,REG,C-DIPB,C-APBS,C-DelPhi,dE23_DIPB,dE23_APBS,dE23_DelPhi
1AHO,-36.79954924964591,-215.7754333828844,-2790.401200903441,-658.9269765544068,-682.4946620708328,-928.4588753940078,-879.0737652496482,-645.6951128211869,-891.6593261443595,-842.2742159999999
1C75,53.44588797175724,-1962.689828659772,-1593.583193324809,-1113.993294936201,-1142.546042115697,-1406.8117820404318,-1361.479806028243,-1195.991930087454,-1460.257670012189,-1414.925694
1CBN,8.358599835413022,-495.3057459604844,66.15949684282982,-248.1150477199766,-259.9640537070727,-392.246503680359,-367.4574421645846,-268.3226535424857,-400.6051035157744,-375.816042
1G6X,58.42329310636465,-2209.654356720975,-393.7733833993786,-1053.985932245525,-1082.046194842307,-1328.9974655207768,-1264.030370893626,-1140.469487948672,-1387.420758627151,-1322.453664
1IQZ,-44.28632832347233,-3674.816926556638,-4799.904500372849,-3835.965990349801,-3871.988211009209,-4169.51778719775,-4110.900040323468,-3827.701882685737,-4125.231458874283,-4066.613712
1IUA,36.98584868983463,-1989.719663194046,-568.0825441551146,-638.4087332416476,-665.7543663387943,-954.7267305374645,-896.62337331017,-702.7402150286289,-991.7125792272944,-933.6092219999999
1J0P,80.85340818565578,-1988.03806525025,-2966.106261945507,-1851.084409139689,-1904.78936164565,-2414.6600282914087,-2309.313167814353,-1985.642769831306,-2495.513436477055,-2390.166576
1L9L,-45.60573343908496,-2018.887388671379,-3359.640053185946,-2491.255657280395,-2534.195972906128,-2878.8669293305807,-2767.274025439089,-2488.590239467043,-2833.261195891491,-2721.668291999999
1M1Q,-13.76427452356968,-175.522569351068,-1945.60665135803,-1544.036643538836,-1583.510294375105,-1998.7279399052663,-1928.074462523574,-1569.746019851535,-1984.963665381692,-1914.310188
1NWZ,35.32474459561612,-1846.370803051084,-1464.098145934273,-1548.109421115638,-1594.493088246935,-2038.9124600542254,-1959.240387404369,-1629.817832842551,-2074.237204649856,-1994.565132
